series_key,role,hs10,window_from,window_to,regime,rule,confidence,source_url,checked_on,note
am_donors,donor,8465990019,2009-04-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485800000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machine-tools, for wood working, nes | 2022: Machine-tools, for wood working, o/t lathes/debarkers,nes"
am_donors,donor,8465990090,2009-04-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485800000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machine-tools, for working cork/bone/rubber/plastics/sim hard materials, nes | 2022: Machine-tools, for working cork/bone/rubber/plastics/sim hard materials, nes"
am_donors,donor,8466941000,1998-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485901000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Bed,base,table column,cradle,frame,bolster,etc, for mach of Nos 84.62 or 84.63 | 2022: Parts,of bed,base,table column,cradle,frame,bolster,etc,for mach Nos 84.62/84.63"
am_donors,donor,8466949000,1998-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485909000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Parts and accessories, nes, for metalworking machines of No 84.62 or 84.63 | 2022: Parts and accessories, nes, for metalworking machines of No 84.62 or 84.63"
am_donors,donor,8475290000,1996-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485300000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machines for mfg or hot wrkg glass/glassware, o/t for mfg optical fib & preforms | 2022: Machines for mfg or hot wrkg glass/glassware, o/t for mfg optical fib & preforms"
am_donors,donor,8475900000,1988-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485909000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Parts of glass working machines | 2022: Parts, of machine,f assg elec/electrn lamps in gls env/mach f wrkg gls/glassware"
am_donors,donor,8477800000,2019-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485200000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machinery for working rubber/plastics/manufacture of products from these mat,nes | 2022: Machinery,nes,for working rubber/plastics/manufacture of products from these mat"
am_donors,donor,8477901000,2017-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485902000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Base, bed, platen, clamp cyl, ram-inj/castings,etc, for rbr/plas wkng machinery | 2022: Parts, of base,bed,platen,clamp cyl,ram-inj/castings,etc, for rbr/plas wkng mach"
am_donors,donor,8477902090,2001-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485903000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Barrel screws for various other machinery, nes | 2022: Parts,of barrel screws,o/t extruders,wrkg rubber/plas/mfg of prod from these mat"
am_donors,donor,8477903000,2012-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485904000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Hydraulic asy consis of least two foll: manifold,valves,pump,etc, for machinery | 2022: Parts, hydraulic asy consis least two foll,manifold,valves,pump,etc, f machinery"
am_donors,donor,8477909090,2001-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485909000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Other parts, for other various machinery, nes | 2022: Parts, for other various machinery, nes"
am_donors,donor,8479891000,2012-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485300000 8485800000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machines and mechanical appliances having individual functions, nes | 2022: Machines, of aircraft flow jet eng start units,arti fog/smoke gen,ect,indiv func"
am_donors,donor,8479893000,2012-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485800000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Mach f fert from fish/fish waste;mech dev f cntl compstn of strlzng/clean sol etc | 2022: Mach, man fert fish/waste;mech cntl compstn strlzng/clean sol,food/bev/hospitals"
am_donors,donor,8479899090,2009-04-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485300000 8485800000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machines and mechanical appliances having individual functions, nes | 2022: Mach and mech appliances, o/t prod petroleum/gas/motor veh maint,indiv func, nes"
am_donors,donor,8479909090,2001-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485909000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Parts, of machines and mechanical appliances, having individual functions, nes | 2022: Parts, of machines and mechanical appliances, having individual functions, nes"
carbon_fibre_articles,window,,1988-01-01,1997-12-31,not separately coded,dictionary: no carbon fibre code under heading 6815 before 1998-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,6815101000 read as graphite blocks for railway wheel moulds until 1997-12
carbon_fibre_articles,carbon fibre,6815101000,1998-01-01,2001-07-31,clean code,dictionary: 6815101000 reads Carbon fibres and filaments,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,
carbon_fibre_articles,carbon fibre,6815101000,2001-08-01,2014-09-30,commingled with refractory brick,"dictionary: 6815101000 reads Carbon fib & fi; Refrac brick, block, tile & sim f prod of metall coke/iron/steel",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"same code, two unrelated goods; no clean series exists for these months"
carbon_fibre_articles,window,,2014-10-01,2021-12-31,not separately coded,dictionary: 6815100000 covers all non-electrical articles of graphite or other carbon,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"the publisher's 2022 concordance sends the three carbon fibre codes back to 6815999000, articles of stone or other mineral substances nes"
carbon_fibre_articles,carbon fibre,6815110000,2022-01-01,9999-12-31,split into three codes,"dictionary: Articles, of carbon fibres, for non-electrical use",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,
carbon_fibre_articles,carbon fibre,6815120000,2022-01-01,9999-12-31,split into three codes,"dictionary: Articles, of fabrics of carbon fibres, for non-electrical uses",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,
carbon_fibre_articles,carbon fibre,6815130000,2022-01-01,9999-12-31,split into three codes,"dictionary: Articles, of carbon fibres, o/t fabric, for non-electrical uses",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,
carbon_fibre_epoxide_sheet,carbon fibre sheet,3921909014,1988-01-01,1997-12-31,epoxide sheet with carbon fibres,"dictionary: Film & sheet etc, of epoxide resin reinforced with carbon fibres",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,predecessor of 3921909914 with the same wording
carbon_fibre_epoxide_sheet,carbon fibre sheet,3921909914,1998-01-01,2011-12-31,epoxide sheet with carbon fibres,"dictionary: Film and sheet, etc, of epoxide resin reinforced with carbon fibres",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,ended 2011-12; no dedicated code since
carbon_fibre_epoxide_sheet,window,,2012-01-01,9999-12-31,not separately coded,"dictionary: from 2012-01 the sheet falls in a code shared with glass fibre, from 2014-10 in plastics nes",high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,
